ref_animal,ref_treatment,ref_implantation,ref_marker,ref_tissue,ref_section_number,ref_side,ref_quantification
CISNI03,no,no,TCR,SN,3,contralateral,4.31E-06
CISNI03,no,no,TCR,SN,4,contralateral,0
CISNI04,SNI,acute,TCR,SN,1,ipsilateral,0.00000076
CISNI04,SNI,acute,TCR,SN,2,ipsilateral,0
CISNI04,no,no,TCR,SN,1,contralateral,0
CISNI05,SNI,acute,TCR,SN,1,ipsilateral,4.65E-06
CISNI05,SNI,acute,TCR,SN,2,ipsilateral,1.61E-06
CISNI05,SNI,acute,TCR,SN,3,ipsilateral,5.99E-06
CISNI05,SNI,acute,TCR,SN,4,ipsilateral,5.15E-06
CISNI05,no,no,TCR,SN,1,contralateral,0
CISNI07,SNI,acute,TCR,SN,1,ipsilateral,4.31E-06
CISNI07,SNI,acute,TCR,SN,2,ipsilateral,1.92E-06
CISNI07,SNI,acute,TCR,SN,3,ipsilateral,2.49E-06
CISNI07,no,no,TCR,SN,1,contralateral,0.000000331
CIC03,no,acute,TCR,SN,1,ipsilateral,0.00000106
CIC03,no,acute,TCR,SN,2,ipsilateral,0.00000114
CIC03,no,acute,TCR,SN,3,ipsilateral,0.00000201
CIC03,no,no,TCR,SN,1,contralateral,0
CIC03,no,no,TCR,SN,2,contralateral,0.00000093
CIC03,no,no,TCR,SN,3,contralateral,0
CIC03,no,no,TCR,SN,4,contralateral,0
CIC04,no,acute,TCR,SN,1,ipsilateral,0.000005945
CIC04,no,acute,TCR,SN,2,ipsilateral,0.000007343
CIC04,no,acute,TCR,SN,3,ipsilateral,0.000007803
CIC04,no,no,TCR,SN,1,contralateral,0
CIC04,no,no,TCR,SN,2,contralateral,0.000000527
CIC05,no,acute,TCR,SN,1,ipsilateral,0
CIC05,no,acute,TCR,SN,2,ipsilateral,0
CIC05,no,no,TCR,SN,1,contralateral,0.00000061
CIC05,no,no,TCR,SN,2,contralateral,0
CIC09,no,acute,TCR,SN,1,ipsilateral,0
CIC09,no,acute,TCR,SN,2,ipsilateral,0
CIC09,no,acute,TCR,SN,3,ipsilateral,0
CIC09,no,acute,TCR,SN,4,ipsilateral,0
CIC09,no,no,TCR,SN,1,contralateral,0.000002545
CIC09,no,no,TCR,SN,2,contralateral,0
CIC09,no,no,TCR,SN,3,contralateral,0
CCIC01,no,chronic,TCR,SN,1,ipsilateral,0.00000087
CCIC01,no,chronic,TCR,SN,2,ipsilateral,0.00000145
CCIC01,no,chronic,TCR,SN,3,ipsilateral,0.00000352
CCIC01,no,chronic,TCR,SN,4,ipsilateral,0.00000133
CCIC01,no,no,TCR,SN,1,contralateral,0
CCIC01,no,no,TCR,SN,2,contralateral,1.20E-06
CCIC01,no,no,TCR,SN,3,contralateral,0.00000065
CCIC01,no,no,TCR,SN,4,contralateral,7.40E-07
CCIC02,no,chronic,TCR,SN,1,ipsilateral,4.84E-06
CCIC02,no,chronic,TCR,SN,2,ipsilateral,6.24E-06
CCIC02,no,no,TCR,SN,1,contralateral,2.59E-06
CCIC02,no,no,TCR,SN,2,contralateral,5.39E-06
CCIC03,no,chronic,TCR,SN,1,ipsilateral,0
CCIC03,no,chronic,TCR,SN,2,ipsilateral,0
CCIC03,no,chronic,TCR,SN,3,ipsilateral,0
CCIC03,no,chronic,TCR,SN,4,ipsilateral,2.67E-06
CCIC03,no,no,TCR,SN,1,contralateral,0
CCIC03,no,no,TCR,SN,2,contralateral,1.50E-06
CCIC03,no,no,TCR,SN,3,contralateral,0
CCIC04,no,chronic,TCR,SN,1,ipsilateral,0
CCIC04,no,chronic,TCR,SN,2,ipsilateral,3.63E-06
CCIC04,no,no,TCR,SN,1,contralateral,3.69E-06
CCIC04,no,no,TCR,SN,2,contralateral,0.00000137
CCIC04,no,no,TCR,SN,3,contralateral,0.00000173
CCIC05,no,chronic,TCR,SN,1,ipsilateral,0.00000283
CCIC05,no,chronic,TCR,SN,2,ipsilateral,0.00000435
CCIC05,no,no,TCR,SN,1,contralateral,0
CCIC05,no,no,TCR,SN,2,contralateral,0.00000064
CCIC05,no,no,TCR,SN,3,contralateral,0.00000124
CCIC05,no,no,TCR,SN,4,contralateral,0.00000084
CCIC06,no,chronic,TCR,SN,1,ipsilateral,0.00000281
CCIC06,no,chronic,TCR,SN,2,ipsilateral,0
CCIC06,no,chronic,TCR,SN,3,ipsilateral,0
CCIC06,no,chronic,TCR,SN,4,ipsilateral,0.00000386
CCIC06,no,no,TCR,SN,1,contralateral,0
CCIC06,no,no,TCR,SN,2,contralateral,0.00000073
CCIC06,no,no,TCR,SN,3,contralateral,0
CCIC06,no,no,TCR,SN,4,contralateral,0.0000008
CFA07,CFA,no,Iba1,SN,1,ipsilateral,0.0018
CFA07,CFA,no,Iba1,SN,2,ipsilateral,0.0012
CFA07,CFA,no,Iba1,SN,3,ipsilateral,0.0015
CFA07,CFA,no,Iba1,SN,4,ipsilateral,0.0012
CFA07,no,no,Iba1,SN,1,contralateral,0.0034
CFA07,no,no,Iba1,SN,2,contralateral,0.0013
CFA07,no,no,Iba1,SN,3,contralateral,0.0016
CFA07,no,no,Iba1,SN,4,contralateral,0.0002
CFA09,CFA,no,Iba1,SN,1,ipsilateral,0.0016
CFA09,CFA,no,Iba1,SN,2,ipsilateral,0.0027
CFA09,CFA,no,Iba1,SN,3,ipsilateral,0.0011
CFA09,CFA,no,Iba1,SN,4,ipsilateral,0.0023
CFA09,no,no,Iba1,SN,1,contralateral,0
CFA09,no,no,Iba1,SN,2,contralateral,0.0018
CFA09,no,no,Iba1,SN,3,contralateral,0.0015
CFA10,CFA,no,Iba1,SN,1,ipsilateral,0.0012
CFA10,CFA,no,Iba1,SN,2,ipsilateral,0.0004
CFA10,CFA,no,Iba1,SN,3,ipsilateral,0.0016
CFA10,CFA,no,Iba1,SN,4,ipsilateral,0.0016
CFA10,no,no,Iba1,SN,1,contralateral,0.0014
CFA10,no,no,Iba1,SN,2,contralateral,0.0007
CFA10,no,no,Iba1,SN,3,contralateral,0.0014
CFA11,CFA,no,Iba1,SN,1,ipsilateral,0.0026
CFA11,CFA,no,Iba1,SN,2,ipsilateral,0.004
CFA11,CFA,no,Iba1,SN,3,ipsilateral,0.0069
CFA11,CFA,no,Iba1,SN,4,ipsilateral,0.0139
CFA11,no,no,Iba1,SN,1,contralateral,0.0064
CFA11,no,no,Iba1,SN,2,contralateral,0.0083
CFA11,no,no,Iba1,SN,3,contralateral,0.0077
CFA11,no,no,Iba1,SN,4,contralateral,0.0088
CFA12,CFA,no,Iba1,SN,1,ipsilateral,0.0032
CFA12,CFA,no,Iba1,SN,2,ipsilateral,0.0021
CFA12,CFA,no,Iba1,SN,3,ipsilateral,0.0047
CFA12,no,no,Iba1,SN,1,contralateral,0.0002
CFA12,no,no,Iba1,SN,2,contralateral,0.0032
CFA12,no,no,Iba1,SN,3,contralateral,0.0004
CFA14,CFA,no,Iba1,SN,1,ipsilateral,0.003
CFA14,CFA,no,Iba1,SN,2,ipsilateral,0.0029
CFA14,CFA,no,Iba1,SN,3,ipsilateral,0.0037
CFA14,no,no,Iba1,SN,1,contralateral,0.0023
CFA14,no,no,Iba1,SN,2,contralateral,0.0023
CFA14,no,no,Iba1,SN,3,contralateral,0.0031
CFA14,no,no,Iba1,SN,4,contralateral,0.0045
CFA15,CFA,no,Iba1,SN,1,ipsilateral,0.0001
CFA15,CFA,no,Iba1,SN,2,ipsilateral,0.0001
CFA15,CFA,no,Iba1,SN,3,ipsilateral,0.0009
CFA15,CFA,no,Iba1,SN,4,ipsilateral,0.0003
CFA15,no,no,Iba1,SN,1,contralateral,0.0004
CFA15,no,no,Iba1,SN,2,contralateral,0.0023
CFA15,no,no,Iba1,SN,3,contralateral,0.0004
CFA15,no,no,Iba1,SN,4,contralateral,0.001
CFA17,CFA,no,Iba1,SN,1,ipsilateral,0.0001
CFA17,CFA,no,Iba1,SN,2,ipsilateral,0.0001
CFA17,no,no,Iba1,SN,1,contralateral,0.0009
CFA17,no,no,Iba1,SN,2,contralateral,0.0007
CFA17,no,no,Iba1,SN,3,contralateral,0.0002
CICFA02,CFA,acute,Iba1,SN,1,ipsilateral,0.0015
CICFA02,CFA,acute,Iba1,SN,2,ipsilateral,0.0001
CICFA02,CFA,acute,Iba1,SN,3,ipsilateral,0.0001
CICFA02,CFA,acute,Iba1,SN,4,ipsilateral,0.0004
CICFA02,no,no,Iba1,SN,1,contralateral,0
CICFA02,no,no,Iba1,SN,2,contralateral,0.0004
CICFA02,no,no,Iba1,SN,3,contralateral,0.0001
CICFA02,no,no,Iba1,SN,4,contralateral,0.0004
CICFA03,CFA,acute,Iba1,SN,1,ipsilateral,0.0087
CICFA03,CFA,acute,Iba1,SN,2,ipsilateral,0.0071
CICFA03,CFA,acute,Iba1,SN,3,ipsilateral,0.0076
CICFA03,CFA,acute,Iba1,SN,4,ipsilateral,0.0067
CICFA03,no,no,Iba1,SN,1,contralateral,0.0031
CICFA03,no,no,Iba1,SN,2,contralateral,0.0008
CICFA03,no,no,Iba1,SN,3,contralateral,0.0173
CICFA03,no,no,Iba1,SN,4,contralateral,0.0018
CICFA04,CFA,acute,Iba1,SN,1,ipsilateral,0.0064
CICFA04,CFA,acute,Iba1,SN,2,ipsilateral,0.0086
CICFA04,CFA,acute,Iba1,SN,3,ipsilateral,0.0051
CICFA04,CFA,acute,Iba1,SN,4,ipsilateral,0.0043
CICFA04,no,no,Iba1,SN,1,contralateral,0.0061
CICFA04,no,no,Iba1,SN,2,contralateral,0.0019
CICFA04,no,no,Iba1,SN,3,contralateral,0.0031
CICFA04,no,no,Iba1,SN,4,contralateral,0.0045
CICFA05,CFA,acute,Iba1,SN,1,ipsilateral,0.0086
CICFA05,CFA,acute,Iba1,SN,2,ipsilateral,0.0082
CICFA05,CFA,acute,Iba1,SN,3,ipsilateral,0.0074
CICFA05,CFA,acute,Iba1,SN,4,ipsilateral,0.0065
CICFA05,no,no,Iba1,SN,1,contralateral,0.009
CICFA05,no,no,Iba1,SN,2,contralateral,0.0034
CICFA05,no,no,Iba1,SN,3,contralateral,0.0043
CICFA05,no,no,Iba1,SN,4,contralateral,0.0039
CICFA06,CFA,acute,Iba1,SN,1,ipsilateral,0.0052
CICFA06,CFA,acute,Iba1,SN,2,ipsilateral,0.0051
CICFA06,CFA,acute,Iba1,SN,3,ipsilateral,0.0047
CICFA06,no,no,Iba1,SN,1,contralateral,0.0051
CICFA06,no,no,Iba1,SN,2,contralateral,0.0063
CICFA06,no,no,Iba1,SN,3,contralateral,0.0101
SNI08,SNI,no,Iba1,SN,1,ipsilateral,0.0062
SNI08,SNI,no,Iba1,SN,2,ipsilateral,0.0098
SNI08,SNI,no,Iba1,SN,3,ipsilateral,0.0031
SNI08,SNI,no,Iba1,SN,4,ipsilateral,0.0018
SNI08,no,no,Iba1,SN,1,contralateral,0.0036
SNI08,no,no,Iba1,SN,2,contralateral,0.0031
SNI08,no,no,Iba1,SN,3,contralateral,0.0021
SNI09,SNI,no,Iba1,SN,1,ipsilateral,0.0014
SNI09,SNI,no,Iba1,SN,2,ipsilateral,0.0014
SNI09,SNI,no,Iba1,SN,3,ipsilateral,0.0021
SNI09,SNI,no,Iba1,SN,4,ipsilateral,0.001
SNI09,no,no,Iba1,SN,1,contralateral,0.0007
SNI09,no,no,Iba1,SN,2,contralateral,0.0007
SNI09,no,no,Iba1,SN,3,contralateral,0.0006
SNI09,no,no,Iba1,SN,4,contralateral,0.0006
SNI10,SNI,no,Iba1,SN,1,ipsilateral,0.004
SNI10,SNI,no,Iba1,SN,2,ipsilateral,0.0077
SNI10,SNI,no,Iba1,SN,3,ipsilateral,0.0073
SNI10,SNI,no,Iba1,SN,4,ipsilateral,0.0075
SNI10,no,no,Iba1,SN,1,contralateral,0.0046
SNI10,no,no,Iba1,SN,2,contralateral,0.0109
SNI10,no,no,Iba1,SN,3,contralateral,0.0048
SNI10,no,no,Iba1,SN,4,contralateral,0.0062
SNI12,SNI,no,Iba1,SN,1,ipsilateral,0.0014
SNI12,SNI,no,Iba1,SN,2,ipsilateral,0.0051
SNI12,SNI,no,Iba1,SN,3,ipsilateral,0.0038
SNI12,SNI,no,Iba1,SN,4,ipsilateral,0.0128
SNI12,no,no,Iba1,SN,1,contralateral,0.003
SNI12,no,no,Iba1,SN,2,contralateral,0.0056
SNI12,no,no,Iba1,SN,3,contralateral,0.0052
SNI12,no,no,Iba1,SN,4,contralateral,0.0061
SNI13,SNI,no,Iba1,SN,1,ipsilateral,0.0048
SNI13,SNI,no,Iba1,SN,2,ipsilateral,0.0092
SNI13,SNI,no,Iba1,SN,3,ipsilateral,0.0069
SNI13,SNI,no,Iba1,SN,4,ipsilateral,0.0068
SNI13,no,no,Iba1,SN,1,contralateral,0.0014
SNI13,no,no,Iba1,SN,2,contralateral,0.0016
SNI13,no,no,Iba1,SN,3,contralateral,0.0012
SNI14,SNI,no,Iba1,SN,1,ipsilateral,0.0058
SNI14,SNI,no,Iba1,SN,2,ipsilateral,0.0043
SNI14,SNI,no,Iba1,SN,3,ipsilateral,0.0037
SNI14,SNI,no,Iba1,SN,4,ipsilateral,0.0059
SNI14,no,no,Iba1,SN,1,contralateral,0.0029
SNI14,no,no,Iba1,SN,2,contralateral,0.0022
SNI14,no,no,Iba1,SN,3,contralateral,0.0039
SNI14,no,no,Iba1,SN,4,contralateral,0.0032
SNI15,SNI,no,Iba1,SN,1,ipsilateral,0.0138
SNI15,SNI,no,Iba1,SN,2,ipsilateral,0.0126
SNI15,SNI,no,Iba1,SN,3,ipsilateral,0.008
SNI15,SNI,no,Iba1,SN,4,ipsilateral,0.0075
SNI15,no,no,Iba1,SN,1,contralateral,0.0078
SNI15,no,no,Iba1,SN,2,contralateral,0.0083
SNI15,no,no,Iba1,SN,3,contralateral,0.0041
SNI15,no,no,Iba1,SN,4,contralateral,0.0039
CISNI02,SNI,acute,Iba1,SN,1,ipsilateral,0.0344
CISNI02,SNI,acute,Iba1,SN,2,ipsilateral,0.0135
CISNI02,no,no,Iba1,SN,1,contralateral,0.0002
CISNI02,no,no,Iba1,SN,2,contralateral,0.0006
CISNI02,no,no,Iba1,SN,3,contralateral,0.0004
CISNI02,no,no,Iba1,SN,4,contralateral,0.0043
CISNI03,SNI,acute,Iba1,SN,1,ipsilateral,0.0168
CISNI03,SNI,acute,Iba1,SN,2,ipsilateral,0.0142
CISNI03,SNI,acute,Iba1,SN,3,ipsilateral,0.0131
CISNI03,no,no,Iba1,SN,1,contralateral,0.0015
CISNI03,no,no,Iba1,SN,2,contralateral,0.0018
CISNI03,no,no,Iba1,SN,3,contralateral,0.0022
CISNI03,no,no,Iba1,SN,4,contralateral,0.0022
CISNI04,SNI,acute,Iba1,SN,1,ipsilateral,0.005
CISNI04,SNI,acute,Iba1,SN,2,ipsilateral,0.0061
CISNI04,SNI,acute,Iba1,SN,3,ipsilateral,0.0062
CISNI04,SNI,acute,Iba1,SN,4,ipsilateral,0.0079
CISNI04,no,no,Iba1,SN,1,contralateral,0.0017
CISNI04,no,no,Iba1,SN,2,contralateral,0.0019
CISNI04,no,no,Iba1,SN,3,contralateral,0.0058
CISNI05,SNI,acute,Iba1,SN,1,ipsilateral,0.0081
CISNI05,SNI,acute,Iba1,SN,2,ipsilateral,0.0083
CISNI05,SNI,acute,Iba1,SN,3,ipsilateral,0.0076
CISNI05,no,no,Iba1,SN,1,contralateral,0.0031
CISNI05,no,no,Iba1,SN,2,contralateral,0.0055
CISNI05,no,no,Iba1,SN,3,contralateral,0.0056
CISNI05,no,no,Iba1,SN,4,contralateral,0.0027
CISNI07,SNI,acute,Iba1,SN,1,ipsilateral,0.0076
CISNI07,SNI,acute,Iba1,SN,2,ipsilateral,0.0053
CISNI07,SNI,acute,Iba1,SN,3,ipsilateral,0.0084
CISNI07,SNI,acute,Iba1,SN,4,ipsilateral,0.0102
CISNI07,no,no,Iba1,SN,1,contralateral,0.0051
CISNI07,no,no,Iba1,SN,2,contralateral,0.0012
CISNI07,no,no,Iba1,SN,3,contralateral,0.0063
CISNI07,no,no,Iba1,SN,4,contralateral,0.0033
CIC03,no,acute,Iba1,SN,1,ipsilateral,0.0021
CIC03,no,acute,Iba1,SN,2,ipsilateral,0.0028
CIC03,no,acute,Iba1,SN,3,ipsilateral,0.0021
CIC03,no,acute,Iba1,SN,4,ipsilateral,0.0035
CIC03,no,no,Iba1,SN,1,contralateral,0.0027
CIC03,no,no,Iba1,SN,2,contralateral,0.0045
CIC03,no,no,Iba1,SN,3,contralateral,0.004
CIC03,no,no,Iba1,SN,4,contralateral,0.0022
CIC04,no,acute,Iba1,SN,1,ipsilateral,0.0083
CIC04,no,acute,Iba1,SN,2,ipsilateral,0.011
CIC04,no,acute,Iba1,SN,3,ipsilateral,0.0076
CIC04,no,no,Iba1,SN,1,contralateral,0.0023
CIC04,no,no,Iba1,SN,2,contralateral,0.0021
CIC04,no,no,Iba1,SN,3,contralateral,0.0044
CIC04,no,no,Iba1,SN,4,contralateral,0.0021
CIC05,no,acute,Iba1,SN,1,ipsilateral,0.0085
CIC05,no,acute,Iba1,SN,2,ipsilateral,0.004
CIC05,no,acute,Iba1,SN,3,ipsilateral,0.0101
CIC05,no,acute,Iba1,SN,4,ipsilateral,0.0087
CIC05,no,no,Iba1,SN,1,contralateral,0.0039
CIC05,no,no,Iba1,SN,2,contralateral,0.001
CIC05,no,no,Iba1,SN,3,contralateral,0.0051
CIC06,no,acute,Iba1,SN,1,ipsilateral,0.0105
CIC06,no,acute,Iba1,SN,2,ipsilateral,0.0082
CIC06,no,acute,Iba1,SN,3,ipsilateral,0.0072
CIC06,no,no,Iba1,SN,1,contralateral,0.0032
CIC06,no,no,Iba1,SN,2,contralateral,0.0032
CIC06,no,no,Iba1,SN,3,contralateral,0.0031
CIC07,no,acute,Iba1,SN,1,ipsilateral,0.0157
CIC07,no,acute,Iba1,SN,2,ipsilateral,0.0157
CIC07,no,no,Iba1,SN,1,contralateral,0.007
CIC07,no,no,Iba1,SN,2,contralateral,0.0059
CIC08,no,acute,Iba1,SN,1,ipsilateral,0.0042
CIC08,no,acute,Iba1,SN,2,ipsilateral,0.0027
CIC08,no,acute,Iba1,SN,3,ipsilateral,0.0045
CIC08,no,acute,Iba1,SN,4,ipsilateral,0.0056
CIC08,no,no,Iba1,SN,1,contralateral,0.0088
CIC08,no,no,Iba1,SN,2,contralateral,0.0054
CIC08,no,no,Iba1,SN,3,contralateral,0.0056
CIC08,no,no,Iba1,SN,4,contralateral,0.0057
CIC09,no,acute,Iba1,SN,1,ipsilateral,0.0049
CIC09,no,acute,Iba1,SN,2,ipsilateral,0.0056
CIC09,no,acute,Iba1,SN,3,ipsilateral,0.0048
CIC09,no,acute,Iba1,SN,4,ipsilateral,0.0061
CIC09,no,no,Iba1,SN,1,contralateral,0.0045
CIC09,no,no,Iba1,SN,2,contralateral,0.0037
CIC09,no,no,Iba1,SN,3,contralateral,0.0058
CIC09,no,no,Iba1,SN,4,contralateral,0.004
CCIC01,no,chronic,Iba1,SN,1,ipsilateral,0.01
CCIC01,no,chronic,Iba1,SN,2,ipsilateral,0.0061
CCIC01,no,chronic,Iba1,SN,3,ipsilateral,0.0071
CCIC01,no,chronic,Iba1,SN,4,ipsilateral,0.0055
CCIC01,no,no,Iba1,SN,1,contralateral,0.0016
CCIC01,no,no,Iba1,SN,2,contralateral,0.0012
CCIC01,no,no,Iba1,SN,3,contralateral,0.0016
CCIC01,no,no,Iba1,SN,4,contralateral,0.0029
CCIC02,no,chronic,Iba1,SN,1,ipsilateral,0.0097
CCIC02,no,chronic,Iba1,SN,2,ipsilateral,0.0124
CCIC02,no,chronic,Iba1,SN,3,ipsilateral,0.0049
CCIC02,no,chronic,Iba1,SN,4,ipsilateral,0.0011
CCIC02,no,no,Iba1,SN,1,contralateral,0.0052
CCIC02,no,no,Iba1,SN,2,contralateral,0.0047
CCIC02,no,no,Iba1,SN,3,contralateral,0.0028
CCIC02,no,no,Iba1,SN,4,contralateral,0.0017
CCIC03,no,chronic,Iba1,SN,1,ipsilateral,0.0027
CCIC03,no,chronic,Iba1,SN,2,ipsilateral,0.0032
CCIC03,no,chronic,Iba1,SN,3,ipsilateral,0.0022
CCIC03,no,chronic,Iba1,SN,4,ipsilateral,0.0022
CCIC03,no,no,Iba1,SN,1,contralateral,0.0026
CCIC03,no,no,Iba1,SN,2,contralateral,0.0048
CCIC03,no,no,Iba1,SN,3,contralateral,0.0019
CCIC03,no,no,Iba1,SN,4,contralateral,0.0027
CCIC04,no,chronic,Iba1,SN,1,ipsilateral,0.0123
